"Item Code","Item Group","Default Unit of Measure","Series","Item Name","HSN/SAC","Disabled","Allow Alternative Item","Maintain Stock","Has Variants","Opening Stock","Default Purchase Unit of Measure","MRP per purchase UOM","MRP","Valuation Rate","Standard Selling Rate","Is Fixed Asset","Rate for Native","Rate for Foreign","Auto Create Assets on Purchase","Create Grouped Asset","Over Delivery/Receipt Allowance (%)","Over Billing Allowance (%)","Description","Shelf Life In Days","End of Life","Default Material Request Type","Weight Per Unit","Allow Negative Stock","Has Batch No","Automatically Create New Batch","Has Expiry Date","Retain Sample","Max Sample Quantity","Has Serial No","Variant Based On","Enable Deferred Expense","No of Months (Expense)","Enable Deferred Revenue","No of Months (Revenue)","Minimum Order Qty","Safety Stock","Allow Purchase","Lead Time in days","Last Purchase Rate","Is Customer Provided Item","Delivered by Supplier (Drop Ship)","Country of Origin","Grant Commission","Allow Sales","Max Discount (%)","Is Ineligible for Input Tax Credit","Inspection Required before Purchase","Inspection Required before Delivery","Include Item In Manufacturing","Supply Raw Materials for Purchase","ID (Taxes)","Item Tax Template (Taxes)","Maximum Net Rate (Taxes)","Minimum Net Rate (Taxes)","ID (UOMs)","Conversion Factor (UOMs)","UOM (UOMs)","ID (Item Defaults)","Company (Item Defaults)","Default Warehouse (Item Defaults)"
"ECOD PLUS","Medications","Nos","STO-ITEM-.YYYY.-","ECOD PLUS","30049099","0","0","1","0","0","Strip 15","418.0","27.867","26.54","0","0","0","0","0","0","0","0","ECOD PLUS","0","2027-02-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","i1sz582htz","GST 5% - DRDSC","0","0","g9j4adadcc","1","Nos","07232gnbgh","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"ECOSPRIN 150","Medications","Nos","STO-ITEM-.YYYY.-","ECOSPRIN 150","30049099","0","0","1","0","0","Strip 14","11.13","0.795","0.7571","0","0","0","0","0","0","0","0","ECOSPRIN 150","0","2026-08-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","q7myxlbhhs","GST 5% - DRDSC","0","0","lxwd4ohbre","1","Nos","1hgpc64ci3","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"ECOSPRIN 75","Medications","Nos","STO-ITEM-.YYYY.-","ECOSPRIN 75","30049099","0","0","1","0","0","Strip 14","5.64","0.403","0.3838","0","0","0","0","0","0","0","0","ECOSPRIN 75","0","2027-06-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","1typvw08se","GST 5% - DRDSC","0","0","19t7112vde","1","Nos","5xgi5ev1ka","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"ECOSPRIN AV 150","Medications","Nos","STO-ITEM-.YYYY.-","ECOSPRIN AV 150","30049099","0","0","1","0","0","Strip 15","65.75","4.383","4.1743","0","0","0","0","0","0","0","0","ECOSPRIN AV 150","0","2027-03-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","ny5vchsjef","GST 5% - DRDSC","0","0","2m48myhkhs","1","Nos","d3zekj76hw","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"ECOSPRIN AV 75","Medications","Nos","STO-ITEM-.YYYY.-","ECOSPRIN AV 75","30049099","0","0","1","0","0","Strip 15","61.22","4.081","3.8867","0","0","0","0","0","0","0","0","ECOSPRIN AV 75","0","2027-04-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","1sk4a71wjd","GST 5% - DRDSC","0","0","osugnfasrv","1","Nos","px7ovsradu","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"EMROK O","Medications","Nos","STO-ITEM-.YYYY.-","EMROK O","30049099","0","0","1","0","0","Strip 4","2695.0","673.75","641.6667","0","0","0","0","0","0","0","0","EMROK O","0","2027-06-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","vnmdyxefik","GST 5% - DRDSC","0","0","u2u2lny46z","1","Nos","gvdgpwhpkd","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"ENZAAR FORTE","Medications","Nos","STO-ITEM-.YYYY.-","ENZAAR FORTE","30049099","0","0","1","0","0","Strip 15","217.4","14.493","13.8029","0","0","0","0","0","0","0","0","ENZAAR FORTE","0","2028-03-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","632f37cikh","GST 5% - DRDSC","0","0","u0v6v0q0fq","1","Nos","jnncshstp5","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"FOSKIND","Medications","Nos","STO-ITEM-.YYYY.-","FOSKIND","30049099","0","0","1","0","0","Nos","560.0","560.0","533.3333","0","0","0","0","0","0","0","0","FOSKIND","0","2026-11-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","ty7p5oaiix","GST 5% - DRDSC","0","0","gxlx6xzvur","1","Nos","1oo30allje","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"GADLIV 50","Medications","Nos","STO-ITEM-.YYYY.-","GADLIV 50","30049099","0","0","1","0","0","Strip 15","135.0","9.0","8.5714","0","0","0","0","0","0","0","0","GADLIV 50","0","2027-02-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","rqwo207b38","GST 5% - DRDSC","0","0","ss6l3q40rf","1","Nos","kwlgjru0bv","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
"GALVYMET 500","Medications","Nos","STO-ITEM-.YYYY.-","GALVYMET 500","30049099","0","0","1","0","0","Strip 15","154.0","10.267","9.7781","0","0","0","0","0","0","0","0","GALVYMET 500","0","2026-04-01","Purchase","0","0","1","0","1","0","0","0","Item Attribute","0","0","0","0","0","0","1","0","0","0","0","India","1","1","0","0","0","0","1","0","dthzresqz6","GST 5% - DRDSC","0","0","98cto3j7ef","1","Nos","jm3nu4drwz","Dr Rasheed's Diabetes Speciality Centre","Goods In Transit - DRDSC"
